* c:\users\vatsal\esim-workspace\cmos_transmission_gate\cmos_transmission_gate.cir
Transient Analysis  Mon Jun 28 12:18:36  2021
--------------------------------------------------------------------------------
Index   time            v1#branch       v2#branch       v3#branch       
--------------------------------------------------------------------------------
0	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
1	1.000000e-06	-4.07352e-07	4.113532e-07	-3.99332e-09	
2	2.000000e-06	-4.07351e-07	4.113532e-07	-3.98487e-09	
3	4.000000e-06	-4.07337e-07	4.113532e-07	-3.98251e-09	
4	8.000000e-06	-4.07336e-07	4.113532e-07	-3.98251e-09	
5	1.600000e-05	-4.07335e-07	4.113532e-07	-3.98251e-09	
6	3.200000e-05	-4.07333e-07	4.113532e-07	-3.98251e-09	
7	5.332914e-05	-4.07359e-07	4.113532e-07	-4.02493e-09	
8	7.727800e-05	-2.09641e-07	4.113403e-07	-2.01563e-07	
9	9.894779e-05	-2.23132e-07	4.113184e-07	-1.88143e-07	
10	1.000000e-04	-2.22894e-07	4.113422e-07	-1.88146e-07	
11	1.007269e-04	-1.69944e-08	2.112324e-12	1.632338e-08	
12	1.021808e-04	-1.78055e-08	2.104822e-12	1.647824e-08	
13	1.050886e-04	-1.75661e-08	2.089898e-12	1.705748e-08	
14	1.109041e-04	-1.75572e-08	2.060368e-12	1.674939e-08	
15	1.225352e-04	-1.66244e-08	2.002549e-12	1.634405e-08	
16	1.457973e-04	-1.55584e-08	1.891717e-12	1.551377e-08	
17	1.923216e-04	-1.39031e-08	1.687944e-12	1.382605e-08	
18	2.853701e-04	-1.10733e-08	1.342885e-12	1.100952e-08	
19	3.853701e-04	-8.62239e-09	1.050090e-12	8.634045e-09	
20	4.853701e-04	-6.74161e-09	8.211377e-13	6.748750e-09	
21	5.853701e-04	-5.27576e-09	6.421075e-13	5.283621e-09	
22	6.853701e-04	-4.12609e-09	5.021044e-13	4.139344e-09	
23	7.853701e-04	-3.21768e-09	3.926254e-13	3.232037e-09	
24	8.853701e-04	-2.54584e-09	3.070179e-13	2.527957e-09	
25	9.853701e-04	-1.96907e-09	2.400749e-13	1.983328e-09	
26	1.085370e-03	-1.55317e-09	1.877292e-13	1.551011e-09	
27	1.185370e-03	-1.21641e-09	1.467954e-13	1.211655e-09	
28	1.285370e-03	-9.53144e-10	1.147886e-13	9.575708e-10	
29	1.385370e-03	-7.41689e-10	8.975920e-14	7.446694e-10	
30	1.485370e-03	-6.03036e-10	7.018845e-14	5.877124e-10	
31	1.585370e-03	-4.45379e-10	5.488373e-14	4.646534e-10	
32	1.685370e-03	-3.70239e-10	4.291732e-14	3.651462e-10	
33	1.785370e-03	-2.64107e-10	3.355887e-14	2.943398e-10	
34	1.885370e-03	-2.34291e-10	2.624219e-14	2.321898e-10	
35	1.985370e-03	-1.86358e-10	2.051964e-14	1.794344e-10	
36	2.085370e-03	-1.43844e-10	1.604607e-14	1.448568e-10	
